City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
227,abu kamal,SY,clear sky,74.5,34.4506,40.9171,محطة التلفاز
232,saint-junien,FR,broken clouds,71.85,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien"
235,saint-pierre,RE,broken clouds,78.48,-21.3393,55.4781,Lindsey Hôtel
237,puerto guzman,CO,overcast clouds,79.72,0.9703,-76.5858,Hotel Campo Verde
243,angoram,PG,broken clouds,74.43,-4.0625,144.0661,
245,arraial do cabo,BR,scattered clouds,76.96,-22.9661,-42.0278,Pousada Porto Praia
250,caravelas,BR,overcast clouds,78.55,-17.7125,-39.2481,Pousada dos Navegantes
251,hualmay,PE,broken clouds,71.06,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
261,kinango,KE,overcast clouds,71.4,-4.1372,39.3153,Legacy Hotel
263,zorritos,PE,broken clouds,79.16,-3.6805,-80.6782,Hotel Pinamar
266,biak,ID,overcast clouds,76.75,-0.9131,122.8766,Penginapan Kim
271,prado,BR,overcast clouds,77.99,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
278,vanimo,PG,broken clouds,78.12,-2.6741,141.3028,Vahmoneh Lodge Vanimo
287,toamasina,MG,clear sky,76.53,-18.1667,49.3833,Hotel H1
288,karema,TZ,light rain,73.99,-6.8205,30.4389,
296,santa cruz,BO,overcast clouds,73.67,-17.8,-63.1667,Aviador Hotel Boutique
308,north myrtle beach,US,overcast clouds,73.11,33.816,-78.68,Avista Resort
310,quatre cocos,MU,scattered clouds,78.1,-20.2078,57.7625,Sunrise Attitude Hotel
318,jatai,BR,clear sky,78.17,-17.8814,-51.7144,Hotel Califórnia
319,puro,PH,scattered clouds,79.56,12.4841,123.3827,
320,makakilo city,US,overcast clouds,71.01,21.3469,-158.0858,Marriott's Ko Olina Beach Club
337,kloulklubed,PW,overcast clouds,75.7,7.0419,134.2556,Storyboard Beach Resort
338,lingao,CN,scattered clouds,75.2,19.9103,109.6859,Lingao Ditai Inn
341,rio pardo de minas,BR,overcast clouds,72.99,-15.6097,-42.5397,Hotel Oásis Cidade Alta
350,auki,SB,overcast clouds,77.14,-8.7676,160.7034,Auki Motel
356,faya,SA,few clouds,73.92,18.3851,42.4509,املاك خالد الشعشوع
364,cam ranh,VN,few clouds,78.76,11.9214,109.1591,OYO 598 Peony Hotel
366,marsh harbour,BS,scattered clouds,77.2,26.5412,-77.0636,Abaco Beach Resort
367,plovdiv,BG,broken clouds,71.67,42.15,24.75,Grand Hotel Plovdiv
370,kinablangan,PH,very heavy rain,77.72,7.6947,126.5503,Morales Eatery and Lodging House
386,sao filipe,CV,clear sky,72.21,14.8961,-24.4956,Hotel Xaguate
387,sao joao da barra,BR,scattered clouds,78.93,-21.6403,-41.0511,Pousada Porto De Canoas
388,tabuk,PH,overcast clouds,73.6,17.4189,121.4443,Golden Berries Hotel and Convention
390,port moresby,PG,overcast clouds,77.16,-9.4431,147.1797,Lamana Hotel (Port Moresby)
402,villamontes,BO,overcast clouds,74.93,-21.25,-63.5,Hotel Raldes
403,namibe,AO,scattered clouds,74.44,-15.1961,12.1522,Hotel Chik Chik Namibe
417,urambo,TZ,light rain,71.35,-5.0667,32.05,Fair Lodge
424,lodja,CD,light rain,75.67,-3.4833,23.4333,
426,chicama,PE,scattered clouds,75.04,-7.8447,-79.1469,Balihai Bungalows
433,iguape,BR,broken clouds,71.56,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
436,cascais,PT,few clouds,79.95,38.6979,-9.4215,Hotel Vila Galé Cascais
440,ahuimanu,US,light rain,72.19,21.4447,-157.8378,Paradise Bay Resort
459,whyalla,AU,clear sky,72.79,-33.0333,137.5833,Foreshore Motor Inn
462,sao fidelis,BR,clear sky,79.75,-21.6461,-41.7469,Hotel São José
468,ca mau,VN,scattered clouds,78.84,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
469,bitung,ID,broken clouds,77.85,1.4451,125.1824,K2 Lembeh
480,hidalgo,MX,few clouds,79.32,20.5,-99.0,
481,axim,GH,moderate rain,79.0,4.8699,-2.2405,Axim Beach Resort And Spa
482,safaga,EG,clear sky,79.3,26.7292,33.9365,Lamar Resort Abu Soma
483,forio,IT,broken clouds,73.69,40.7342,13.8646,Hotel Terme Providence
484,florianopolis,BR,overcast clouds,73.35,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
502,lakatoro,VU,overcast clouds,79.21,-16.0999,167.4164,Lakatoro Palm Lodge
503,tadine,NC,clear sky,76.87,-21.55,167.8833,
512,namatanai,PG,light rain,79.09,-3.6667,152.4333,Seagulls Inn Namatani
513,rawah,IQ,clear sky,73.42,34.4816,41.9093,
517,alugan,PH,clear sky,78.35,12.2188,125.4808,JM Lodge
518,cuamba,MZ,scattered clouds,72.91,-14.8031,36.5372,Hotel Vision
523,tsiroanomandidy,MG,few clouds,73.08,-18.7667,46.0333,Hotel Ravinala
528,huejuquilla el alto,MX,broken clouds,74.84,22.6,-103.8667,Hotel Huexuquillan
529,komsomolskiy,UZ,scattered clouds,72.32,40.4272,71.7189,Ikathouse
530,kieta,PG,light rain,78.71,-6.2167,155.6333,Uruna Bay Retreat
532,wum,CM,moderate rain,75.88,6.3833,10.0667,Wum Council Hall
536,yanam,IN,few clouds,79.07,16.7333,82.2167,The Regency Hotel
539,campina verde,BR,clear sky,79.75,-19.5356,-49.4864,Hotel Lino
540,colares,PT,few clouds,79.79,38.7992,-9.4469,Arribas Sintra Hotel
544,palamos,ES,clear sky,77.99,41.8484,3.1291,Hotel Rosamar
552,kimbe,PG,light rain,76.37,-5.5502,150.1429,Kimbe Bay Hotel
554,mbanza-ngungu,CD,light rain,77.04,-5.25,14.8667,Hotel Full Business
557,davila,PH,clear sky,78.46,18.4726,120.5763,Blue Ridge Beach Resort
562,arona,ES,clear sky,73.98,28.0996,-16.681,Paradise Court
573,finschhafen,PG,overcast clouds,79.0,-6.6024,147.8681,Cossam Guest House
574,bintulu,MY,overcast clouds,77.77,3.1667,113.0333,900 Boutique INN
575,siniscola,IT,clear sky,71.15,40.5719,9.6922,Hotel Sa Tanca E Bore
582,waingapu,ID,scattered clouds,79.9,-9.6567,120.2641,Pondok Wisata Elim
595,labrea,BR,overcast clouds,78.39,-7.2586,-64.7981,Hotel Novo Horizonte
598,siocon,PH,scattered clouds,78.89,7.7061,122.1353,ABS Hotel
600,cayhagan,PH,few clouds,78.58,9.6697,122.4256,Melrose Beach Resort
614,fiumicino,IT,clear sky,75.76,41.7675,12.2291,Al Porticciolo Hotel
615,bardiyah,LY,overcast clouds,77.16,31.7561,25.0865,بورتو بردية
618,mayo,US,clear sky,73.67,38.8876,-76.5119,Resorts Resource Group International
619,bairiki,KI,few clouds,78.8,1.3292,172.9752,Tarawa Boutique Hotel
621,bowen,AU,overcast clouds,74.07,-20.0167,148.2333,Castle Motor Lodge Motel
627,paraiso,CR,overcast clouds,76.96,9.8383,-83.8656,Hotel Rinconcito Verde
628,meulaboh,ID,scattered clouds,79.79,4.1363,96.1285,Kost Pria
636,alexandria,EG,overcast clouds,72.97,31.2156,29.9553,Royal Crown Hotel
646,farafangana,MG,few clouds,75.96,-22.8167,47.8333,Miarina
647,noumea,NC,clear sky,75.99,-22.2763,166.4572,Hôtel Le Lagon
649,henderson,US,clear sky,74.82,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
655,buin,CL,clear sky,71.87,-33.7333,-70.75,Paihuen
656,tiarei,PF,light rain,77.02,-17.5333,-149.3333,Le Rocher de Tahiti
659,buala,SB,moderate rain,79.21,-8.145,159.5921,Maringe Lagoon Lodge
661,oranjestad,AW,clear sky,78.69,12.524,-70.027,Divi Village Golf & Beach Resort
664,alice springs,AU,clear sky,72.95,-23.7,133.8833,Desert Palms Alice Springs
671,banjar,ID,overcast clouds,77.92,-8.19,114.9675,The Hamsa Resort
672,baghdad,IQ,clear sky,76.78,33.3406,44.4009,Baghdad Hotel
681,perpignan,FR,clear sky,76.82,42.75,2.75,Le moulin a huile de l'agly
